Hari ke-,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,PM2.5_5,PM2.5_6,PM2.5_7,PM2.5_8,PM2.5_9,PM2.5_10,PM2.5_11,PM2.5_12,PM10_1,PM10_2,PM10_3,PM10_4,PM10_5,PM10_6,PM10_7,PM10_8,PM10_9,PM10_10,PM10_11,PM10_12,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8,CO_9,CO_10,CO_11,CO_12,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO2_8,NO2_9,NO2_10,NO2_11,NO2_12,SO2_1,SO2_2,SO2_3,SO2_4,SO2_5,SO2_6,SO2_7,SO2_8,SO2_9,SO2_10,SO2_11,SO2_12,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,O3_7,O3_8,O3_9,O3_10,O3_11,O3_12,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,Pb_1,Pb_2,Pb_3,Pb_4,Pb_5,Pb_6,Pb_7,Pb_8,Pb_9,Pb_10,Pb_11,Pb_12
11,70.30,61.35,59.57,78.67,57.52,53.27,26.29,75.59,56.84,37.85,18.68,55.66,182.28,162.85,161.02,199.46,152.82,145.06,77.11,197.71,150.69,105.68,60.96,152.54,"9,094.63","8,259.68","8,396.68","9,694.38","8,029.18","7,767.22","5,079.90","9,455.29","8,000.00","6,164.64","4,313.35","8,151.92",337.78,254.06,262.66,416.45,200.00,193.96,111.72,396.68,219.05,146.82,92.17,223.44,215.46,194.66,192.57,233.67,180.00,174.75,85.96,232.41,180.00,124.37,64.89,180.00,257.96,242.44,241.45,274.02,238.44,229.68,150.47,274.04,236.22,184.94,129.97,239.19,116.42,106.43,105.22,124.85,103.09,96.64,59.42,125.18,100.91,76.46,49.31,101.99,1.16,1.04,1.04,1.23,1.01,0.98,0.63,1.23,1.00,0.78,0.55,1.00
12,65.00,43.95,70.92,69.73,73.61,63.51,23.04,56.05,54.15,32.13,23.04,62.31,168.40,119.61,184.26,178.87,188.88,164.81,70.81,150.00,147.16,91.84,72.16,167.96,"8,670.43","6,850.65","9,107.24","9,095.28","9,305.62","8,428.41","4,783.02","8,113.04","7,786.68","5,681.35","4,829.43","8,648.88",309.33,163.76,351.63,349.02,353.58,267.13,101.84,200.00,195.80,132.85,106.31,283.61,201.84,140.47,215.78,216.67,222.10,193.40,76.39,182.25,175.71,107.02,76.29,193.94,249.55,201.85,265.32,263.76,262.84,248.43,140.68,237.19,230.18,170.14,144.54,248.23,113.42,84.73,120.76,120.48,122.67,107.35,55.64,100.29,97.22,69.44,56.75,108.83,1.09,0.85,1.16,1.15,1.19,1.07,0.60,1.00,0.98,0.71,0.61,1.08
13,75.50,45.11,65.19,73.96,85.13,3.50,31.25,82.42,52.26,32.86,23.91,62.80,194.67,126.40,174.07,186.79,215.36,12.00,87.31,204.28,139.56,92.94,71.08,167.61,"9,550.03","7,014.16","8,678.89","9,274.02","10,173.89",400.00,"5,604.43","9,995.17","7,592.19","5,781.66","4,925.26","8,425.82",384.46,171.38,304.66,358.18,494.53,5.00,125.23,453.16,186.93,134.79,106.63,254.74,226.46,149.19,201.67,219.84,252.12,4.00,102.45,237.77,168.48,107.40,78.38,194.13,267.84,206.89,252.35,268.69,285.38,20.00,163.11,279.50,225.13,170.47,146.30,245.98,125.95,85.91,114.62,122.98,137.75,4.00,67.18,130.66,95.67,69.32,57.94,108.73,1.23,0.89,1.12,1.19,1.30,0.02,0.69,1.28,0.95,0.72,0.62,1.09
14,63.30,33.50,62.28,51.89,66.80,58.52,19.33,41.02,3.50,37.07,9.21,33.18,166.39,95.94,167.87,141.72,177.19,152.46,59.43,114.12,12.00,103.49,29.61,93.64,"8,624.31","5,786.71","8,479.39","7,646.41","8,949.82","8,180.77","4,329.97","6,612.05",400.00,"6,197.06","2,402.45","5,873.78",271.61,134.26,275.40,189.11,326.41,222.55,88.54,157.30,5.00,144.25,47.91,136.34,201.23,108.89,202.01,169.89,207.81,186.38,64.23,134.21,4.00,120.08,30.94,110.81,246.85,171.26,249.74,224.06,254.15,237.98,131.07,193.83,20.00,181.74,72.28,171.16,108.06,68.82,111.08,95.51,117.05,103.37,49.75,80.01,4.00,73.55,27.34,69.11,1.09,0.72,1.07,0.95,1.11,1.01,0.53,0.82,0.02,0.77,0.29,0.74
15,55.10,32.12,47.68,69.36,60.27,52.79,12.96,79.53,38.14,40.91,11.95,40.05,150.00,90.82,129.60,177.15,160.73,143.03,41.05,200.37,107.78,112.99,39.85,112.73,"7,992.37","5,640.08","7,264.45","9,007.42","8,206.05","7,726.78","3,384.22","9,723.65","6,350.54","6,636.79","3,150.59","6,508.11",197.91,130.20,177.26,336.08,234.04,192.45,65.48,432.54,146.68,156.64,63.33,155.54,179.25,104.38,154.16,215.46,186.60,173.59,43.76,232.91,125.84,132.65,40.38,133.79,235.00,169.21,211.78,260.66,242.23,229.41,98.74,276.84,184.01,192.90,95.99,191.68,99.26,67.56,89.94,114.73,105.98,97.02,36.71,130.79,76.79,79.93,35.43,79.10,1.00,0.71,0.90,1.15,1.05,0.96,0.42,1.24,0.79,0.82,0.39,0.80
16,67.80,47.10,79.29,74.68,63.13,45.14,23.39,60.53,51.44,41.51,16.32,70.17,176.79,129.66,201.03,192.52,165.66,126.82,71.66,157.65,140.46,113.99,55.43,179.64,"8,851.74","7,105.60","9,819.19","9,502.60","8,543.46","7,081.32","4,906.81","8,337.82","7,678.14","6,575.42","4,173.96","9,027.71",329.81,172.81,444.06,418.94,284.07,172.13,106.54,236.10,189.84,159.14,83.25,367.82,211.49,154.57,231.90,226.46,200.43,148.31,78.12,189.36,171.61,136.37,54.63,217.29,256.36,209.97,274.15,268.80,250.75,208.55,144.69,239.46,227.47,195.71,126.20,261.88,113.30,89.20,130.00,125.49,107.73,87.19,55.80,104.03,95.10,80.29,46.30,120.00,1.13,0.90,1.26,1.21,1.09,0.88,0.61,1.03,0.96,0.82,0.51,1.17
17,66.90,35.56,62.54,75.73,69.21,75.39,27.60,68.94,45.11,34.65,3.50,55.35,171.65,99.94,162.72,195.96,179.20,190.27,80.25,178.83,125.74,97.11,12.00,150.00,"8,914.86","5,893.71","8,451.65","9,683.35","9,120.36","9,511.10","5,196.30","9,005.68","6,944.62","6,020.90",400.00,"7,982.41",324.28,138.84,278.76,411.72,354.55,402.80,116.84,331.60,167.96,139.77,5.00,200.00,206.94,116.09,192.38,229.82,212.63,222.85,88.20,216.71,148.42,112.59,4.00,179.96,253.41,176.12,250.01,270.25,262.05,265.85,152.87,258.70,204.61,175.32,20.00,232.47,113.24,71.06,110.39,124.78,118.41,123.25,61.44,120.18,86.43,72.11,4.00,100.00,1.11,0.74,1.07,1.22,1.14,1.21,0.65,1.17,0.88,0.74,0.02,0.99
18,70.50,46.63,69.37,82.61,76.24,3.50,26.84,48.73,46.47,45.18,26.79,54.77,181.54,128.24,183.22,206.46,189.52,12.00,79.09,134.25,129.15,122.26,77.23,145.89,"9,004.00","7,155.55","9,170.45","9,957.81","9,541.10",400.00,"5,147.25","7,284.88","7,054.00","6,858.75","5,063.39","7,891.37",352.95,173.06,335.61,456.39,394.75,5.00,113.12,177.69,171.75,168.91,110.13,194.94,217.95,152.18,216.90,242.48,225.78,4.00,88.14,155.72,152.26,144.30,85.93,177.02,260.20,212.09,263.02,278.31,270.69,20.00,150.50,216.09,210.93,202.84,151.74,232.55,117.69,87.42,118.85,133.52,124.28,4.00,59.29,90.47,88.46,85.99,60.03,98.70,1.14,0.89,1.15,1.29,1.21,0.02,0.63,0.92,0.89,0.86,0.63,0.99
19,85.70,53.58,67.38,71.57,72.44,47.55,20.44,72.94,3.50,36.18,17.86,60.37,212.58,145.16,176.21,186.13,190.50,130.40,60.68,186.82,12.00,101.94,52.72,163.11,"10,350.58","7,778.91","8,967.10","9,258.10","9,288.70","7,158.20","4,502.12","9,289.39",400.00,"6,088.67","4,138.85","8,561.17",498.94,191.77,311.35,373.98,385.02,176.54,92.52,388.37,5.00,143.83,87.28,253.71,252.71,174.18,210.91,223.15,219.15,153.31,68.50,225.73,4.00,122.37,57.17,193.61,284.89,228.33,256.07,265.77,268.01,213.48,135.68,265.53,20.00,181.68,125.94,246.07,135.05,96.59,114.66,119.84,120.16,89.13,50.72,122.01,4.00,74.13,46.90,105.67,1.33,0.97,1.13,1.18,1.20,0.91,0.56,1.20,0.02,0.78,0.52,1.05
20,77.30,40.08,49.87,63.76,71.19,48.78,28.89,61.61,48.84,45.46,23.82,80.33,192.56,109.93,135.75,168.00,181.71,135.40,83.76,159.64,134.18,123.96,71.48,199.63,"9,683.46","6,455.19","7,425.29","8,648.15","8,931.85","7,376.37","5,316.19","8,485.98","7,405.60","6,886.04","4,836.19","9,864.87",407.87,155.65,182.53,292.45,352.06,183.81,120.08,267.16,180.54,167.71,105.63,432.23,226.87,130.44,159.54,199.06,208.99,162.08,95.97,194.89,157.30,146.51,75.75,235.83,270.51,189.27,219.69,252.81,259.33,218.71,159.99,242.72,217.59,205.94,141.79,276.81,128.41,79.48,91.19,110.13,117.27,91.08,62.63,104.82,92.00,84.68,56.67,129.28,1.25,0.81,0.93,1.11,1.15,0.93,0.67,1.04,0.92,0.86,0.60,1.27
21,64.20,31.90,65.92,77.33,60.51,66.35,19.43,3.50,50.48,29.18,12.24,45.47,166.09,91.52,175.66,191.72,160.10,172.17,59.24,12.00,139.89,82.32,40.01,124.84,"8,663.33","5,576.41","8,932.76","9,658.26","8,376.33","8,837.03","4,330.70",400.00,"7,580.35","5,268.43","3,158.16","6,934.65",300.37,127.76,295.37,419.69,271.24,299.60,89.62,5.00,188.09,119.90,62.44,168.27,200.86,101.80,205.29,226.72,189.68,201.18,66.57,4.00,166.34,96.09,41.05,149.17,250.00,164.92,254.94,270.35,245.95,253.33,130.80,20.00,219.68,158.91,96.66,203.93,111.70,67.09,114.07,124.86,108.53,110.46,50.79,4.00,94.08,62.41,36.51,86.56,1.10,0.71,1.11,1.23,1.07,1.10,0.56,0.02,0.94,0.66,0.41,0.86
22,58.70,43.29,3.50,72.00,81.59,49.38,11.70,67.63,43.49,26.41,11.29,48.23,155.29,118.55,12.00,185.11,202.61,133.36,38.30,174.08,121.47,77.31,36.06,133.11,"8,239.99","6,721.57",400.00,"9,246.84","9,817.49","7,367.78","2,990.76","8,772.67","6,834.06","5,135.94","2,975.29","7,274.12",218.74,161.67,5.00,359.28,426.89,181.27,59.90,306.12,162.56,112.33,58.63,179.45,187.12,139.49,4.00,218.31,239.00,159.14,38.88,206.02,141.73,89.24,38.52,159.91,239.54,197.78,20.00,261.63,278.60,219.70,90.64,257.00,202.68,152.22,86.79,214.17,102.45,83.10,4.00,118.01,128.82,91.71,33.81,111.84,83.12,60.84,33.10,91.74,1.02,0.84,0.02,1.17,1.25,0.92,0.38,1.12,0.85,0.65,0.37,0.92
23,73.60,57.42,64.90,78.78,73.24,70.35,22.53,70.51,55.90,41.47,13.87,51.56,186.18,150.00,173.13,196.37,189.45,179.39,67.27,177.86,150.07,117.16,44.04,140.15,"9,279.43","8,000.00","8,852.55","9,752.19","9,385.62","9,080.02","4,733.19","8,946.47","8,111.97","6,677.59","3,578.80","7,627.27",378.49,203.69,317.17,433.11,387.01,332.76,100.32,357.10,229.66,158.00,72.42,191.51,220.11,181.76,203.74,231.25,221.73,218.25,75.79,213.37,185.88,136.65,46.55,166.76,266.35,235.00,254.64,274.27,268.28,259.32,140.08,260.15,236.63,197.63,108.32,223.99,121.24,100.00,113.85,128.92,121.83,118.99,55.84,117.03,100.42,82.08,40.10,95.30,1.21,1.01,1.11,1.25,1.18,1.17,0.59,1.14,1.03,0.83,0.44,0.95
24,78.50,47.73,71.62,81.69,66.16,57.42,27.70,39.05,63.72,46.36,15.06,55.74,199.01,129.27,186.57,199.62,169.96,153.80,81.65,109.23,165.49,127.72,48.15,153.76,"9,809.01","7,147.64","9,260.08","9,946.46","8,725.21","8,181.12","5,201.36","6,357.79","8,748.72","7,086.73","3,972.67","8,183.73",423.72,176.60,367.53,454.67,308.85,200.00,117.10,153.67,276.33,172.06,79.48,203.18,235.77,154.36,214.38,237.07,202.94,182.66,88.33,129.87,202.77,151.85,51.38,186.47,273.12,212.30,260.75,277.93,252.60,235.00,155.41,187.51,252.09,206.57,115.40,235.43,127.69,88.65,118.57,130.35,113.94,102.55,61.95,76.89,111.97,86.38,44.00,101.76,1.24,0.91,1.18,1.26,1.10,1.01,0.64,0.81,1.11,0.88,0.49,1.01
25,76.70,40.62,83.71,86.61,64.64,71.04,25.73,74.45,56.54,44.14,18.96,60.08,191.31,111.62,214.00,220.27,173.12,186.48,77.36,190.61,151.02,121.86,60.28,163.56,"9,471.59","6,471.05","10,247.80","10,389.06","8,750.14","9,115.93","5,102.25","9,285.98","8,171.37","6,861.73","4,443.44","8,389.93",417.65,155.17,501.65,505.26,292.52,353.90,111.87,387.57,213.26,164.49,92.43,254.47,231.83,129.74,246.91,253.30,201.76,216.77,84.57,219.13,186.48,142.84,64.31,195.61,274.94,188.87,288.63,290.05,255.24,262.84,148.07,268.56,235.50,202.28,130.00,246.15,126.12,78.69,136.26,139.80,114.66,121.40,59.23,124.44,104.11,85.14,50.56,108.05,1.21,0.81,1.31,1.33,1.10,1.17,0.63,1.21,1.02,0.86,0.55,1.05
26,80.30,50.03,71.35,72.62,74.53,77.24,24.30,54.31,49.66,44.71,13.28,59.06,202.53,135.41,180.38,185.47,190.44,195.16,71.08,144.06,134.98,124.71,43.17,158.57,"9,772.32","7,473.05","9,011.00","9,440.62","9,397.27","9,498.53","4,912.79","7,784.14","7,404.58","6,869.06","3,395.50","8,310.99",439.76,184.15,349.75,373.27,408.22,393.90,106.64,193.16,180.72,165.84,68.44,262.56,235.77,161.80,214.67,224.98,221.55,229.65,77.06,173.74,159.63,146.79,43.77,191.65,280.21,220.18,261.58,264.88,270.00,269.97,146.18,228.67,216.17,202.84,104.16,241.39,129.94,92.99,117.48,120.40,125.22,123.00,57.62,97.82,92.30,85.58,38.64,108.31,1.27,0.94,1.17,1.19,1.19,1.21,0.61,0.98,0.92,0.87,0.43,1.07
27,83.40,50.23,74.79,77.13,62.49,66.70,33.05,66.09,55.25,48.40,13.98,63.51,205.98,137.61,186.54,197.24,168.72,175.01,94.10,169.51,148.31,132.65,46.03,167.26,"10,082.87","7,508.70","9,419.09","9,462.12","8,465.61","9,034.14","5,678.35","8,853.72","7,932.07","7,230.12","3,569.55","8,568.28",485.15,183.39,385.94,405.80,259.64,308.11,129.89,299.62,198.73,177.15,73.90,274.20,245.59,161.75,222.69,229.81,199.65,208.37,106.72,201.08,177.17,157.54,46.66,195.00,283.19,222.36,265.65,269.45,247.96,259.81,170.03,250.27,232.79,214.36,107.08,248.86,135.73,93.58,123.10,127.81,109.25,116.33,68.49,111.14,98.48,89.57,40.86,107.09,1.29,0.94,1.18,1.22,1.09,1.13,0.71,1.09,0.99,0.90,0.45,1.09
28,69.70,38.80,64.76,54.56,63.77,45.91,17.43,70.61,47.02,37.61,12.84,43.86,179.79,105.69,170.46,149.81,163.72,127.71,53.93,183.09,128.23,106.38,41.69,121.62,"9,109.91","6,238.96","8,578.72","8,000.00","8,585.20","7,020.39","4,190.82","9,317.84","7,211.30","6,149.35","3,326.03","6,945.82",330.71,145.86,290.60,197.57,259.62,172.37,86.45,365.80,173.28,147.00,65.36,168.05,213.13,123.65,199.14,179.32,199.95,151.68,59.15,216.33,155.00,121.71,42.08,143.59,260.84,184.07,248.77,234.17,250.98,208.54,125.63,265.34,210.88,183.74,98.71,203.87,115.51,76.63,111.64,99.28,108.30,87.06,46.79,120.61,89.36,75.17,36.34,84.28,1.17,0.79,1.08,1.00,1.08,0.89,0.53,1.17,0.89,0.78,0.42,0.86
29,55.90,38.05,49.91,77.51,61.32,45.25,14.27,58.91,51.08,35.27,12.47,48.28,150.00,105.49,137.37,191.87,162.22,124.62,46.07,156.69,140.56,101.37,41.42,132.25,"8,119.61","6,229.82","7,533.46","9,509.36","8,337.43","7,082.96","3,634.64","8,148.68","7,635.82","6,037.91","3,268.09","7,236.44",209.43,148.53,185.96,424.10,242.08,168.64,74.70,239.67,186.20,140.41,65.36,176.44,182.26,124.87,166.47,227.45,191.21,149.22,47.96,185.00,168.44,115.18,43.39,157.39,235.00,182.72,221.71,271.50,243.26,207.12,107.95,240.44,223.40,175.89,97.29,215.00,100.00,75.43,92.71,123.93,104.96,85.62,40.86,105.24,94.80,73.29,37.24,89.42,1.02,0.78,0.94,1.22,1.05,0.89,0.46,1.02,0.95,0.74,0.40,0.92
30,69.80,44.61,80.63,89.41,96.86,57.37,24.50,72.41,66.04,43.89,30.61,53.91,177.14,122.56,199.85,219.94,231.00,157.28,72.98,185.38,167.90,120.96,89.71,146.32,"9,070.33","6,900.04","9,959.50","10,394.57","10,892.42","8,157.74","5,019.24","9,310.19","8,671.52","6,889.60","5,591.22","7,770.50",328.28,165.80,447.53,511.24,575.22,231.14,109.73,367.98,301.63,166.60,125.25,192.50,212.86,144.72,237.23,257.90,275.12,191.47,83.61,221.02,199.91,141.40,100.55,174.29,261.74,203.83,279.19,292.49,304.08,242.63,149.02,264.82,253.42,202.32,163.83,228.08,117.19,83.64,129.49,140.38,147.55,104.87,57.49,122.74,109.36,84.73,65.83,96.85,1.14,0.86,1.26,1.34,1.42,1.03,0.62,1.20,1.09,0.86,0.69,0.98
31,72.27,38.33,63.92,82.55,73.97,64.19,18.41,90.34,68.24,40.61,17.60,72.94,186.37,109.89,167.31,205.75,183.87,167.15,57.38,229.38,181.08,113.27,55.16,184.87,"9,369.98","6,337.54","8,660.97","9,967.18","9,309.44","8,672.18","4,179.08","10,693.84","8,917.52","6,558.57","4,104.63","9,258.94",363.60,149.57,270.54,484.44,378.25,278.05,88.52,541.99,322.88,153.96,85.37,369.64,222.36,127.08,202.67,245.67,220.47,201.24,59.53,263.46,210.72,134.18,57.57,215.36,265.14,186.62,249.99,282.47,266.27,250.98,126.44,301.03,256.03,193.77,125.91,264.37,121.61,77.11,110.75,132.31,120.24,109.02,49.10,144.70,115.29,79.31,47.86,118.61,1.18,0.80,1.08,1.29,1.17,1.10,0.53,1.37,1.12,0.82,0.53,1.16
